,Big Data,Business Cards,Content Marketing,Customer Journey,Digital Marketing,Gamification,Generation Y,Generation Z,Growth Hacking,Ideation,Millennials,Offshoring,Real Estate,ROI,Sustainability,Value Investing,Amazon,Apple,BMW,EasyJet,Facebook,IBM,McDonalds,Microsoft,Nike,Ocado,Slack,Tesco,Tesla,Uber,Walt Disney,Zoom,BBC News,Daily Mail,Disney,Economist,FT,HBO,Independent,Live Streaming,Netflix,NowTV,Telegraph,The Guardian,TikTok,Twitch,Vimeo,Youtube,ks2 maths,baking,drawing,emotional intelligence,home workout,how to buy stocks,how to code,how to make a mask,internships,learn a language,online courses,painting,sewing,supermarket jobs,volunteering,working from home,5G,Artificial Intelligence,Augmented Reality,Automation,Blockchain,Internet of Things,Machine Learning,Natural Language Processing,Robotics,Virtual Reality,Web 2.0,Cloud Computing,Computer Vision,Disruptive technologies,Digital Divide,Quantum Computing,Day
11,46.0,56.0,27.0,58.0,70.0,35.0,69.0,67.0,0.0,48.0,49.0,35.0,58.0,100.0,76.0,0.0,56.0,52.0,64.0,43.0,68.0,77.0,15.0,45.0,37.0,29.0,42.0,38.0,84.0,54.0,45.0,8.0,100.0,98.0,10.0,65.0,64.0,38.0,96.0,31.0,34.0,52.0,94.0,89.0,33.0,39.0,52.0,68.0,39.0,20.0,47.0,80.0,6.0,45.0,62.0,1.0,54.0,22.0,23.0,36.0,20.0,1.0,2.0,30.0,12.0,53.0,32.0,58.0,27.0,42.0,61.0,41.0,70.0,31.0,33.0,60.0,0.0,0.0,36.0,76.0,12/03/2020
12,53.0,55.0,29.0,76.0,48.0,28.0,73.0,49.0,0.0,100.0,66.0,73.0,80.0,89.0,52.0,45.0,57.0,54.0,72.0,59.0,74.0,56.0,18.0,41.0,40.0,39.0,44.0,41.0,82.0,66.0,100.0,10.0,70.0,88.0,17.0,51.0,70.0,30.0,93.0,25.0,48.0,56.0,94.0,75.0,32.0,44.0,44.0,72.0,31.0,20.0,48.0,56.0,6.0,53.0,66.0,2.0,59.0,30.0,21.0,36.0,21.0,4.0,2.0,27.0,13.0,40.0,23.0,56.0,69.0,76.0,80.0,43.0,43.0,36.0,0.0,53.0,27.0,0.0,38.0,45.0,13/03/2020
13,19.0,44.0,31.0,32.0,33.0,0.0,52.0,44.0,0.0,40.0,53.0,59.0,50.0,44.0,16.0,49.0,64.0,74.0,79.0,82.0,81.0,42.0,22.0,31.0,48.0,57.0,12.0,49.0,64.0,72.0,32.0,6.0,65.0,87.0,14.0,44.0,62.0,56.0,82.0,21.0,65.0,55.0,90.0,71.0,43.0,53.0,35.0,77.0,15.0,30.0,49.0,0.0,10.0,29.0,56.0,2.0,26.0,32.0,18.0,44.0,25.0,1.0,2.0,12.0,13.0,20.0,41.0,52.0,31.0,16.0,57.0,0.0,40.0,21.0,0.0,40.0,44.0,0.0,0.0,57.0,14/03/2020
14,46.0,57.0,22.0,31.0,59.0,29.0,38.0,45.0,0.0,26.0,77.0,0.0,62.0,52.0,29.0,47.0,70.0,64.0,78.0,77.0,83.0,45.0,22.0,31.0,51.0,64.0,16.0,62.0,67.0,61.0,44.0,8.0,71.0,89.0,13.0,55.0,60.0,47.0,98.0,43.0,67.0,64.0,84.0,73.0,46.0,55.0,45.0,75.0,22.0,33.0,49.0,29.0,15.0,49.0,55.0,2.0,36.0,63.0,26.0,47.0,27.0,3.0,2.0,24.0,14.0,47.0,16.0,31.0,45.0,47.0,44.0,45.0,26.0,69.0,0.0,22.0,28.0,0.0,0.0,28.0,15/03/2020
15,34.0,71.0,34.0,29.0,63.0,41.0,52.0,80.0,0.0,24.0,87.0,35.0,69.0,83.0,54.0,45.0,65.0,56.0,66.0,100.0,80.0,78.0,13.0,67.0,33.0,61.0,74.0,56.0,68.0,52.0,34.0,20.0,100.0,100.0,10.0,64.0,62.0,42.0,100.0,23.0,42.0,57.0,100.0,100.0,36.0,37.0,54.0,68.0,64.0,23.0,46.0,48.0,20.0,86.0,53.0,4.0,35.0,24.0,27.0,37.0,19.0,2.0,4.0,79.0,14.0,46.0,22.0,47.0,45.0,22.0,75.0,42.0,63.0,29.0,34.0,41.0,0.0,92.0,36.0,38.0,16/03/2020
16,46.0,46.0,41.0,72.0,51.0,36.0,34.0,42.0,0.0,60.0,42.0,0.0,66.0,76.0,52.0,0.0,76.0,58.0,57.0,60.0,83.0,81.0,24.0,78.0,32.0,70.0,100.0,69.0,68.0,55.0,31.0,32.0,87.0,94.0,11.0,73.0,54.0,36.0,99.0,30.0,53.0,64.0,91.0,79.0,36.0,40.0,56.0,69.0,54.0,23.0,49.0,27.0,32.0,51.0,66.0,4.0,28.0,19.0,28.0,39.0,22.0,11.0,3.0,97.0,17.0,46.0,18.0,79.0,63.0,29.0,79.0,41.0,47.0,57.0,34.0,53.0,53.0,0.0,36.0,34.0,17/03/2020
17,29.0,39.0,54.0,29.0,48.0,0.0,68.0,47.0,0.0,24.0,91.0,35.0,65.0,68.0,44.0,43.0,73.0,60.0,57.0,57.0,85.0,75.0,25.0,86.0,29.0,76.0,94.0,84.0,70.0,58.0,30.0,40.0,96.0,91.0,11.0,53.0,58.0,31.0,93.0,34.0,62.0,47.0,95.0,85.0,39.0,42.0,53.0,75.0,73.0,26.0,54.0,33.0,35.0,22.0,49.0,2.0,21.0,19.0,46.0,42.0,18.0,28.0,4.0,100.0,12.0,71.0,29.0,67.0,41.0,29.0,84.0,0.0,47.0,47.0,34.0,53.0,26.0,0.0,35.0,25.0,18/03/2020
18,34.0,27.0,56.0,44.0,69.0,27.0,35.0,59.0,0.0,41.0,79.0,0.0,56.0,58.0,57.0,0.0,71.0,61.0,53.0,45.0,86.0,70.0,23.0,94.0,28.0,41.0,85.0,90.0,70.0,60.0,23.0,46.0,86.0,90.0,12.0,62.0,64.0,35.0,89.0,26.0,65.0,85.0,88.0,76.0,48.0,46.0,56.0,80.0,68.0,27.0,63.0,48.0,37.0,52.0,60.0,3.0,29.0,49.0,49.0,42.0,21.0,47.0,4.0,92.0,13.0,44.0,22.0,64.0,28.0,22.0,41.0,42.0,39.0,39.0,0.0,41.0,66.0,0.0,36.0,26.0,19/03/2020
19,17.0,37.0,41.0,87.0,40.0,0.0,35.0,69.0,0.0,24.0,100.0,0.0,58.0,55.0,45.0,0.0,71.0,56.0,55.0,38.0,90.0,65.0,32.0,84.0,29.0,39.0,72.0,87.0,57.0,70.0,20.0,51.0,78.0,87.0,15.0,66.0,63.0,28.0,82.0,33.0,76.0,80.0,85.0,77.0,55.0,53.0,74.0,87.0,56.0,31.0,64.0,20.0,50.0,40.0,61.0,2.0,33.0,34.0,49.0,43.0,28.0,75.0,6.0,65.0,9.0,26.0,22.0,40.0,49.0,22.0,53.0,0.0,69.0,35.0,0.0,56.0,40.0,0.0,0.0,26.0,20/03/2020
20,46.0,62.0,30.0,64.0,44.0,0.0,38.0,63.0,0.0,0.0,60.0,38.0,74.0,35.0,24.0,48.0,82.0,70.0,71.0,27.0,96.0,31.0,35.0,45.0,41.0,63.0,18.0,97.0,49.0,100.0,19.0,49.0,58.0,84.0,21.0,59.0,66.0,56.0,77.0,50.0,95.0,100.0,87.0,66.0,66.0,76.0,48.0,90.0,24.0,48.0,74.0,44.0,87.0,37.0,73.0,8.0,34.0,42.0,56.0,62.0,30.0,100.0,4.0,27.0,10.0,39.0,20.0,55.0,27.0,48.0,47.0,45.0,13.0,45.0,37.0,17.0,48.0,0.0,0.0,0.0,21/03/2020
21,42.0,49.0,23.0,65.0,37.0,30.0,58.0,59.0,0.0,27.0,70.0,0.0,91.0,38.0,36.0,49.0,82.0,69.0,59.0,23.0,100.0,55.0,100.0,46.0,41.0,64.0,26.0,89.0,52.0,86.0,36.0,54.0,64.0,86.0,25.0,46.0,63.0,36.0,74.0,53.0,86.0,93.0,81.0,65.0,69.0,77.0,63.0,90.0,47.0,51.0,64.0,30.0,72.0,44.0,60.0,5.0,28.0,56.0,54.0,64.0,34.0,68.0,5.0,34.0,11.0,31.0,24.0,66.0,39.0,32.0,55.0,46.0,36.0,43.0,0.0,68.0,44.0,100.0,0.0,28.0,22/03/2020
22,29.0,23.0,100.0,100.0,41.0,31.0,30.0,50.0,0.0,48.0,74.0,0.0,61.0,52.0,57.0,75.0,79.0,56.0,46.0,32.0,87.0,50.0,77.0,100.0,27.0,88.0,67.0,95.0,49.0,85.0,24.0,72.0,91.0,89.0,31.0,63.0,66.0,28.0,89.0,38.0,57.0,65.0,88.0,73.0,54.0,70.0,62.0,86.0,91.0,35.0,71.0,41.0,99.0,29.0,66.0,8.0,23.0,50.0,65.0,51.0,28.0,47.0,5.0,55.0,11.0,48.0,16.0,56.0,63.0,37.0,53.0,35.0,49.0,38.0,0.0,35.0,23.0,77.0,0.0,0.0,23/03/2020
23,44.0,21.0,45.0,91.0,49.0,38.0,65.0,79.0,44.0,23.0,47.0,0.0,76.0,57.0,50.0,41.0,88.0,66.0,44.0,30.0,88.0,57.0,13.0,100.0,31.0,100.0,66.0,100.0,49.0,56.0,43.0,82.0,62.0,84.0,100.0,55.0,69.0,38.0,79.0,39.0,68.0,82.0,83.0,67.0,61.0,74.0,68.0,93.0,99.0,43.0,83.0,70.0,100.0,54.0,71.0,7.0,27.0,82.0,85.0,51.0,26.0,55.0,56.0,56.0,12.0,39.0,28.0,67.0,66.0,14.0,40.0,39.0,45.0,21.0,48.0,53.0,50.0,86.0,34.0,36.0,24/03/2020
24,29.0,47.0,47.0,56.0,51.0,26.0,34.0,56.0,91.0,35.0,66.0,0.0,71.0,47.0,49.0,42.0,85.0,63.0,44.0,27.0,89.0,59.0,9.0,92.0,34.0,75.0,69.0,82.0,50.0,56.0,36.0,79.0,62.0,84.0,53.0,49.0,77.0,33.0,74.0,41.0,67.0,75.0,81.0,70.0,70.0,66.0,61.0,92.0,100.0,50.0,85.0,66.0,84.0,33.0,64.0,9.0,32.0,52.0,82.0,51.0,24.0,35.0,100.0,61.0,14.0,32.0,42.0,61.0,51.0,14.0,70.0,41.0,37.0,40.0,33.0,30.0,0.0,87.0,69.0,25.0,25/03/2020
25,50.0,32.0,61.0,38.0,49.0,27.0,34.0,78.0,46.0,71.0,52.0,35.0,61.0,61.0,55.0,72.0,83.0,67.0,43.0,27.0,91.0,72.0,7.0,86.0,39.0,62.0,55.0,75.0,50.0,51.0,61.0,80.0,59.0,83.0,40.0,62.0,86.0,36.0,77.0,40.0,68.0,53.0,87.0,70.0,70.0,65.0,70.0,94.0,66.0,50.0,84.0,40.0,76.0,39.0,77.0,7.0,36.0,81.0,70.0,57.0,29.0,29.0,37.0,46.0,16.0,53.0,54.0,56.0,45.0,29.0,90.0,82.0,38.0,44.0,33.0,35.0,39.0,0.0,0.0,50.0,26/03/2020
26,70.0,39.0,31.0,53.0,46.0,0.0,32.0,43.0,0.0,22.0,55.0,0.0,57.0,55.0,51.0,40.0,83.0,63.0,44.0,26.0,92.0,58.0,8.0,73.0,51.0,63.0,47.0,85.0,41.0,70.0,50.0,84.0,58.0,83.0,35.0,58.0,78.0,29.0,73.0,53.0,75.0,82.0,83.0,69.0,69.0,67.0,74.0,93.0,53.0,54.0,77.0,44.0,61.0,47.0,73.0,6.0,24.0,85.0,68.0,59.0,28.0,24.0,18.0,39.0,18.0,54.0,57.0,48.0,48.0,53.0,51.0,76.0,44.0,35.0,32.0,51.0,36.0,0.0,0.0,72.0,27/03/2020
27,43.0,44.0,28.0,30.0,38.0,0.0,36.0,76.0,0.0,37.0,46.0,72.0,60.0,36.0,26.0,45.0,98.0,78.0,49.0,20.0,96.0,28.0,8.0,41.0,57.0,57.0,16.0,82.0,40.0,75.0,78.0,79.0,52.0,86.0,48.0,55.0,80.0,55.0,65.0,50.0,100.0,97.0,86.0,69.0,89.0,91.0,51.0,92.0,14.0,89.0,71.0,21.0,77.0,30.0,71.0,7.0,26.0,61.0,73.0,71.0,30.0,22.0,10.0,15.0,22.0,42.0,34.0,44.0,61.0,15.0,31.0,0.0,23.0,69.0,36.0,48.0,27.0,0.0,0.0,40.0,28/03/2020
28,31.0,33.0,57.0,31.0,41.0,28.0,36.0,28.0,0.0,25.0,58.0,0.0,65.0,34.0,27.0,0.0,100.0,81.0,46.0,23.0,96.0,37.0,7.0,39.0,58.0,66.0,22.0,88.0,42.0,45.0,70.0,69.0,56.0,86.0,42.0,59.0,81.0,52.0,72.0,64.0,95.0,81.0,83.0,63.0,92.0,74.0,73.0,93.0,30.0,90.0,76.0,43.0,83.0,54.0,70.0,11.0,30.0,91.0,92.0,75.0,39.0,19.0,10.0,16.0,28.0,27.0,100.0,43.0,59.0,31.0,63.0,44.0,41.0,30.0,0.0,65.0,28.0,0.0,0.0,40.0,29/03/2020
29,35.0,52.0,51.0,45.0,49.0,25.0,54.0,44.0,0.0,45.0,42.0,32.0,70.0,71.0,45.0,0.0,91.0,70.0,46.0,55.0,86.0,72.0,7.0,79.0,46.0,57.0,57.0,82.0,43.0,63.0,62.0,79.0,51.0,81.0,29.0,65.0,71.0,40.0,73.0,33.0,66.0,71.0,78.0,62.0,76.0,67.0,72.0,92.0,77.0,63.0,86.0,83.0,71.0,72.0,81.0,9.0,23.0,91.0,99.0,63.0,32.0,27.0,11.0,36.0,42.0,36.0,71.0,84.0,49.0,41.0,72.0,0.0,33.0,30.0,0.0,24.0,33.0,0.0,33.0,60.0,30/03/2020
30,68.0,34.0,32.0,55.0,48.0,38.0,33.0,44.0,44.0,57.0,62.0,0.0,82.0,65.0,62.0,41.0,89.0,72.0,44.0,29.0,87.0,63.0,7.0,83.0,49.0,61.0,48.0,82.0,44.0,72.0,50.0,82.0,50.0,80.0,27.0,54.0,77.0,41.0,74.0,28.0,68.0,58.0,78.0,64.0,83.0,64.0,89.0,94.0,67.0,70.0,83.0,25.0,65.0,48.0,80.0,8.0,33.0,82.0,100.0,67.0,34.0,23.0,7.0,40.0,57.0,29.0,41.0,64.0,49.0,32.0,60.0,0.0,45.0,27.0,32.0,34.0,25.0,85.0,0.0,32.0,31/03/2020
31,48.0,24.0,45.0,41.0,63.0,51.0,33.0,25.0,0.0,57.0,54.0,0.0,62.0,59.0,59.0,83.0,91.0,71.0,45.0,25.0,85.0,54.0,24.0,80.0,47.0,51.0,55.0,83.0,51.0,63.0,52.0,92.0,49.0,78.0,27.0,74.0,71.0,36.0,73.0,33.0,69.0,71.0,81.0,64.0,86.0,67.0,63.0,92.0,62.0,70.0,94.0,25.0,65.0,32.0,70.0,8.0,25.0,59.0,98.0,66.0,37.0,19.0,7.0,44.0,83.0,36.0,72.0,63.0,50.0,62.0,54.0,0.0,34.0,51.0,48.0,29.0,100.0,0.0,34.0,24.0,01/04/2020
32,43.0,45.0,32.0,95.0,55.0,38.0,65.0,29.0,43.0,23.0,44.0,0.0,53.0,54.0,33.0,41.0,92.0,67.0,46.0,23.0,86.0,66.0,21.0,73.0,49.0,50.0,53.0,79.0,50.0,60.0,44.0,84.0,48.0,77.0,25.0,77.0,80.0,44.0,72.0,100.0,68.0,70.0,79.0,60.0,82.0,68.0,81.0,97.0,55.0,79.0,81.0,32.0,49.0,64.0,82.0,24.0,28.0,100.0,89.0,68.0,35.0,14.0,7.0,39.0,96.0,36.0,51.0,65.0,36.0,14.0,58.0,39.0,47.0,81.0,32.0,52.0,25.0,0.0,34.0,24.0,02/04/2020
33,28.0,31.0,46.0,42.0,48.0,0.0,0.0,61.0,0.0,46.0,56.0,34.0,59.0,44.0,40.0,42.0,91.0,72.0,46.0,19.0,87.0,48.0,13.0,68.0,49.0,53.0,46.0,79.0,48.0,77.0,53.0,100.0,46.0,75.0,27.0,62.0,78.0,100.0,70.0,58.0,73.0,73.0,77.0,58.0,86.0,77.0,80.0,100.0,37.0,70.0,81.0,26.0,53.0,16.0,85.0,15.0,22.0,92.0,75.0,67.0,35.0,16.0,5.0,41.0,96.0,64.0,53.0,54.0,54.0,42.0,61.0,40.0,46.0,31.0,33.0,25.0,51.0,0.0,0.0,0.0,03/04/2020
34,66.0,62.0,29.0,30.0,50.0,0.0,36.0,55.0,0.0,25.0,38.0,0.0,71.0,36.0,33.0,61.0,95.0,75.0,55.0,14.0,93.0,24.0,11.0,32.0,53.0,44.0,17.0,75.0,47.0,70.0,41.0,90.0,47.0,78.0,31.0,64.0,76.0,85.0,72.0,62.0,86.0,70.0,77.0,62.0,100.0,90.0,62.0,93.0,6.0,90.0,67.0,42.0,49.0,30.0,81.0,17.0,36.0,71.0,65.0,76.0,43.0,11.0,4.0,20.0,100.0,43.0,52.0,44.0,77.0,66.0,60.0,43.0,19.0,100.0,53.0,48.0,37.0,0.0,0.0,40.0,04/04/2020
35,55.0,57.0,15.0,31.0,34.0,29.0,37.0,68.0,100.0,26.0,48.0,37.0,76.0,52.0,20.0,0.0,95.0,77.0,51.0,14.0,99.0,34.0,9.0,31.0,55.0,36.0,13.0,72.0,42.0,49.0,48.0,67.0,60.0,86.0,28.0,73.0,86.0,71.0,68.0,62.0,77.0,69.0,79.0,61.0,98.0,80.0,48.0,93.0,13.0,91.0,67.0,51.0,69.0,30.0,77.0,10.0,23.0,72.0,66.0,81.0,37.0,9.0,3.0,14.0,66.0,36.0,41.0,50.0,60.0,68.0,85.0,0.0,58.0,27.0,36.0,22.0,38.0,0.0,0.0,28.0,05/04/2020
36,51.0,31.0,57.0,27.0,53.0,49.0,0.0,44.0,43.0,33.0,41.0,49.0,76.0,47.0,42.0,40.0,90.0,68.0,51.0,23.0,85.0,76.0,10.0,56.0,49.0,40.0,52.0,73.0,45.0,46.0,32.0,69.0,69.0,90.0,21.0,73.0,90.0,46.0,79.0,32.0,60.0,76.0,83.0,76.0,79.0,66.0,76.0,83.0,23.0,75.0,77.0,44.0,49.0,16.0,75.0,13.0,35.0,54.0,76.0,71.0,41.0,12.0,4.0,37.0,47.0,38.0,44.0,50.0,52.0,33.0,92.0,38.0,41.0,50.0,31.0,33.0,25.0,0.0,0.0,24.0,06/04/2020
37,98.0,30.0,26.0,85.0,48.0,26.0,67.0,31.0,45.0,31.0,36.0,0.0,81.0,96.0,52.0,85.0,89.0,71.0,53.0,24.0,86.0,77.0,9.0,57.0,51.0,46.0,36.0,76.0,45.0,49.0,35.0,69.0,71.0,93.0,20.0,64.0,96.0,54.0,79.0,33.0,60.0,59.0,83.0,73.0,78.0,76.0,100.0,84.0,21.0,78.0,70.0,33.0,55.0,28.0,77.0,11.0,32.0,66.0,65.0,72.0,40.0,12.0,6.0,38.0,41.0,37.0,18.0,59.0,65.0,28.0,66.0,100.0,66.0,56.0,33.0,74.0,51.0,0.0,34.0,49.0,07/04/2020
38,41.0,42.0,47.0,38.0,59.0,26.0,0.0,46.0,45.0,24.0,38.0,34.0,79.0,45.0,51.0,43.0,91.0,70.0,52.0,24.0,85.0,66.0,7.0,56.0,51.0,45.0,51.0,78.0,50.0,44.0,40.0,71.0,57.0,88.0,20.0,56.0,88.0,34.0,70.0,36.0,60.0,62.0,81.0,67.0,82.0,73.0,91.0,82.0,20.0,73.0,70.0,46.0,54.0,33.0,75.0,9.0,37.0,42.0,73.0,69.0,33.0,11.0,5.0,37.0,31.0,40.0,14.0,55.0,72.0,24.0,71.0,40.0,29.0,31.0,33.0,35.0,52.0,0.0,0.0,25.0,08/04/2020
39,57.0,39.0,53.0,28.0,55.0,52.0,85.0,31.0,44.0,23.0,46.0,34.0,71.0,60.0,29.0,85.0,91.0,70.0,50.0,19.0,87.0,73.0,7.0,54.0,74.0,33.0,39.0,83.0,43.0,48.0,46.0,75.0,53.0,81.0,20.0,67.0,90.0,44.0,69.0,50.0,63.0,51.0,80.0,66.0,80.0,75.0,81.0,86.0,19.0,78.0,69.0,20.0,49.0,39.0,76.0,9.0,42.0,23.0,64.0,76.0,37.0,6.0,6.0,41.0,25.0,59.0,25.0,69.0,37.0,23.0,89.0,40.0,43.0,18.0,33.0,69.0,51.0,0.0,0.0,49.0,09/04/2020
